index,source_node,target_node,weight,day
753,64,414,279984.0,152
754,64,500,833169.0,152
755,64,1093,157475.75,152
756,161,1848,167123.4,152
757,197,602,395000.0,152
758,237,530,675000.0,152
759,241,617,892200.0,152
760,216,1423,320000.0,153
761,314,918,532327.0,153
762,46,1083,689013.0,155
763,64,500,141106.25,155
764,64,500,206220.0,155
765,64,586,898542.79,155
766,64,586,393464.35,155
767,64,946,898800.0,155
768,64,1281,451488.5,155
769,64,1408,213074.0,155
770,113,2416,25000000.0,155
771,153,2183,300000.0,155
772,64,500,161100.0,156
773,64,1408,220800.0,156
774,96,1514,874830.0,156
775,131,1554,2434997.12,156
776,197,672,804476.44,156
777,213,607,354066.0,156
778,235,1345,251000.0,156
779,44,526,475899.91,157
780,56,390,224950.87,157
781,80,1398,141000.0,157
782,82,1090,730000.0,157
783,148,1498,166225.0,157
784,162,572,560000.0,157
785,10,707,648740.0,158
786,101,1190,501245.0,158
787,213,1239,300000.0,158
788,309,1554,959500.0,158
789,64,414,331725.0,159
790,64,500,726640.0,159
791,64,586,180529.66,159
792,64,586,116694.54,159
793,71,467,1798746.0,159
794,111,562,643250.0,159
795,111,562,899500.0,159
796,154,1004,832564.28,159
797,154,1440,893481.72,159
798,154,1902,897497.15,159
799,174,587,699500.0,159
800,174,976,450638.0,159
801,174,1630,564284.76,159
802,267,2368,445000.0,159
803,298,1545,890729.41,159
804,339,787,158538.3,159
805,339,1555,210908.96,159
806,339,1555,244676.64,159
807,339,1555,422785.87,159
808,84,2127,6492750.0,162
809,84,2129,3500000.0,162
810,84,2141,6000000.0,162
811,62,1153,896592.0,162
812,151,1286,891767.5,162
813,206,656,278000.0,162
814,229,352,640000.0,162
815,229,1923,376384.32,162
816,244,776,1460000.0,162
817,244,1259,1623000.0,162
818,258,642,347500.0,162
819,258,1677,109510.0,162
820,268,1208,219864.0,162
821,268,1848,219035.0,162
822,4,1130,312000.0,163
823,4,1130,432000.0,163
824,64,414,411357.5,163
825,64,1281,331610.25,163
826,64,1335,893327.86,163
827,206,2126,1000000.0,163
828,206,2127,1000000.0,163
829,268,1208,219319.0,163
830,268,1208,219939.0,163
831,268,1848,219864.0,163
832,235,642,338000.0,164
833,235,2349,890000.0,164
834,244,561,549597.64,164
835,244,783,1344999.44,164
836,244,1213,727550.0,164
837,259,1130,899000.0,164
838,259,1130,714500.0,164
839,259,1130,315600.0,164
840,273,1468,1812801.42,164
841,273,1468,2559002.85,164
842,310,1060,199747.5,164
843,310,1200,200000.0,164
844,310,1865,249500.0,164
845,147,1419,189500.0,165
846,236,640,199100.0,165
847,236,787,299767.8,165
848,236,1034,349400.0,165
849,14,783,3047446.0,166
850,14,783,1099650.0,166
851,50,1260,391500.0,166
852,113,1177,855000.0,166
853,113,1563,850000.0,166
854,201,1965,1479500.0,166
855,206,2126,1356750.0,166
856,206,2127,1768000.0,166
857,206,2127,2200000.0,166
858,206,2141,2000000.0,166
859,224,562,1182000.0,166
860,244,510,894999.69,166
861,244,842,1874000.0,166
862,244,1213,881300.0,166
863,265,2126,338400.0,166
864,78,987,375000.0,167
865,78,1542,418200.0,167
866,13,1914,148767.0,169
867,80,1609,360987.75,169
868,88,1190,1106350.0,169
869,88,1190,1560585.0,169
870,126,1017,1500500.0,169
871,126,1017,3001500.0,169
872,126,1545,1000500.0,169
873,126,1545,1000500.0,169
874,126,1806,900000.0,169
875,189,672,374934.05,169
876,216,1423,1245000.0,169
877,216,1423,1245000.0,169
878,216,1423,2100000.0,169
879,237,1072,346358.0,169
880,241,1739,870500.0,169
881,299,732,893080.0,169
882,84,1954,550000.0,170
883,84,2127,365808.0,170
884,82,1138,132920.0,170
885,156,1076,349000.0,170
886,156,1076,448000.0,170
887,164,1179,454725.0,170
888,164,1974,449731.83,170
889,164,1974,399742.2,170
890,244,1213,597000.0,170
891,256,961,636539.8,170
892,275,2368,2054000.0,170
893,324,523,581233.05,170
894,84,1207,450000.0,171
